order_index,trained_at_utc,family,label,checkpoint_rel,metrics_rel,device,strategy,policy_target,examples,replay_buffer_examples,total_seconds,policy_loss,value_loss,gate_score_rate,gate_points,gate_games,gate_draw_rate,gate_summary_rel,promotion_score_rate,promotion_points,promotion_games,promotion_delta,promotion_summary_rel,elo_estimate,elo_games
1,2026-03-07T20:21:41.368489+00:00,bootstrap_fast,bootstrap_fast,artifacts/bootstrap_fast/bootstrap_model.pt,artifacts/bootstrap_fast/metrics.json,cuda,,,5,,,4.8076171875,0.11190107464790344,,,,,,,,,,,1381.5057077414203,76
2,2026-03-07T21:03:18.308208+00:00,bootstrap_colab_test,bootstrap_colab_test,artifacts/bootstrap_colab_test/bootstrap_model.pt,artifacts/bootstrap_colab_test/metrics.json,cuda,,,84,,,3.3048171997070312,0.020904330536723137,,,,,,,,,,,1355.9737404902955,42
3,2026-03-07T21:29:47.753953+00:00,bootstrap_status_smoke,bootstrap_status_smoke,artifacts/bootstrap_status_smoke/bootstrap_model.pt,artifacts/bootstrap_status_smoke/metrics.json,cuda,,,5,,,5.5087890625,0.08823993802070618,,,,,,,,,,,1337.5798651584014,42
4,2026-03-07T21:52:24.508223+00:00,bootstrap_fast_eval,bootstrap_fast_eval,artifacts/bootstrap_fast_eval/bootstrap_model.pt,artifacts/bootstrap_fast_eval/metrics.json,cuda,,,5,,,5.8076171875,7.76205924921669e-05,,,,,,,,,,,1285.1689750659993,50
5,2026-03-07T21:55:46+00:00,cycle_smoke,cycle_smoke/c001,artifacts/cycle_smoke/cycle_001/bootstrap_model.pt,artifacts/cycle_smoke/cycle_001/metrics.json,cuda,,,5,,,5.541015625,0.10566611588001251,,,,,,,,,,,1263.5088762914925,50
6,2026-03-07T22:00:14+00:00,cycle_smoke,cycle_smoke/c002,artifacts/cycle_smoke/cycle_002/bootstrap_model.pt,artifacts/cycle_smoke/cycle_002/metrics.json,cuda,,,5,,,5.541015625,0.10566611588001251,,,,,,,,,,,1241.8487775169858,50
7,2026-03-08T17:52:24.627734+00:00,bootstrap_gate_smoke,bootstrap_gate_smoke,artifacts/bootstrap_gate_smoke/bootstrap_model.pt,artifacts/bootstrap_gate_smoke/metrics.json,cuda,,,5,,8.369,5.4150390625,0.06065218523144722,0.6666666666666666,4.0,6,0.3333333333333333,artifacts/bootstrap_gate_smoke/tournament/summary.json,,,,,,1302.1090020413224,6
8,2026-03-08T19:12:56.392485+00:00,bootstrap_convergence_fast,bootstrap_convergence_fast,artifacts/bootstrap_convergence_fast/bootstrap_model.pt,artifacts/bootstrap_convergence_fast/metrics.json,cuda,,all_placements,27,,19.564,5.5776909192403155,0.10367411685486634,0.75,4.5,6,0.5,artifacts/bootstrap_convergence_fast/tournament/summary.json,,,,,,1435.7328114176444,42
9,2026-03-08T19:38:12.059740+00:00,bootstrap_mixed_fast,bootstrap_mixed_fast,artifacts/bootstrap_mixed_fast/bootstrap_model.pt,artifacts/bootstrap_mixed_fast/metrics.json,cuda,,all_placements,45,,35.554,5.29417314529419,0.05890239363070578,0.75,4.5,6,0.5,artifacts/bootstrap_mixed_fast/tournament/summary.json,,,,,,1443.1670596393224,24
10,2026-03-08T20:59:37.522657+00:00,runtime_benchmark_deep,runtime_benchmark_deep,artifacts/runtime_benchmark_deep/run_01_cpu8_interop2_sp1_dl0/bootstrap_model.pt,artifacts/runtime_benchmark_deep/run_01_cpu8_interop2_sp1_dl0/metrics.json,cuda,,all_placements,2,,65.315,5.83203125,0.004926696419715881,,,,,,,,,,,,0
